rank,ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,1y_return,score_long
1,XLU,47.3600,0.149113,-0.214125,-0.186659,-0.139198,0.031955,0.040141,0.047767,7988.78,0.654915,0.487162
2,XLP,89.0100,0.130666,-0.247834,-0.148270,-0.110461,0.026947,0.033299,0.038692,6736.66,0.262233,0.487091
3,MOO,85.0000,0.146889,-0.224413,-0.178292,-0.112137,0.031349,0.039311,0.046660,7837.32,0.240810,0.485792
4,STAG,38.5600,0.234404,-0.146244,-0.158212,-0.066699,0.055447,0.072629,0.091798,13861.81,0.101250,0.457553
5,GGG,92.3500,0.187639,-0.102506,-0.168293,-0.141700,0.042517,0.054688,0.067339,10629.24,0.054229,0.456321
6,FANG,167.7700,0.298839,-0.139884,-0.099017,-0.094134,0.073374,0.097640,0.126235,18343.58,0.017539,0.448711
7,AMT,182.4800,0.317346,-0.177605,-0.088028,-0.038607,0.078504,0.104796,0.136099,19626.01,0.040275,0.436772
8,RS,316.7400,0.265040,-0.071975,-0.115468,-0.091113,0.063958,0.084488,0.108088,15989.58,0.003842,0.434504
9,CMC,74.5800,0.310022,-0.052965,-0.159729,-0.158317,0.076482,0.101981,0.132227,19120.62,0.396829,0.434300
10,UFPI,104.6300,0.291464,-0.084198,-0.103675,-0.080318,0.071318,0.094765,0.122262,17829.40,-0.037151,0.434242
